item	code	label_en	label_fr	label_de	label_nl	label_es	description_en	description_fr	description_de	description_nl	description_es
http://www.wikidata.org/entity/Q27567	abq	Abaza	abaza	Abasinisch	Abazijns	abaza	language of the Caucasus mountains in the Russian Karachay–Cherkess Republic by the Abazins	langue parlée dans le Caucase	Sprache der Abasinen	taal	lengua caucásica
http://www.wikidata.org/entity/Q5111	ab	Abkhaz	abkhaze	Abchasisch	Abchazisch	abjasio	Northwest Caucasian language native to northwestern Georgia	langue caucasienne	nordwestkaukasische Sprache	taal	lengua norcaucásica
http://www.wikidata.org/entity/Q27683	ace	Acehnese	acehnais	Achinesisch	Atjehs	idioma achenés	Aceh-Chamic language spoken predominantly by the Acehnese (or Achinese) ethnic group	langue chamique parlée de façon prédominante par l’ethnie acehnaise (ou achinaise)	Sprache in Aceh auf Sumatra	Austronesische taal gesproken in Noord-Sumatra	lengua malayo-polinesia
http://www.wikidata.org/entity/Q27776	ady	Adyghe	adyguéen	Adygeisch	Adygees	adigués	one of the official languages of the Republic of Adygea in Russia	langue officielle de la République d’Adyguée en Russie	Sprache der Adygen oder Tscherkessen	taal	idioma perteneciente a la familia de las lenguas caucásicas noroccidentales
http://www.wikidata.org/entity/Q27811	aa	Afar	afar	Afar	Afar	idioma afar	Afro-Asiatic language spoken in Ethiopia, Djibouti and Eritrea	langue afro-asiatique	Eine in Äthiopien, Eritrea und Dschibuti gesprochene Sprache	taal	lengua cushita hablada en Etiopía, Eritrea y Yibuti
http://www.wikidata.org/entity/Q14196	af	Afrikaans	afrikaans	Afrikaans	Afrikaans	afrikáans	West Germanic language, spoken in South Africa and Namibia	langue germanique	westgermanische Sprache in Südafrika und Namibia	West-Germaanse taal, gesproken in Zuid-Afrika en Namibië	lengua germánica
http://www.wikidata.org/entity/Q34737	agq	Aghem	aghem	Aghem	Aghem	aghem	language	langue	Sprache	taal	lengua
http://www.wikidata.org/entity/Q27969	ain	Ainu	aïnou	Ainu	Aino	Ainu	language(s) spoken by Ainu ethnic groups in Hokkaido, Kuril and Sakhalin	langue du Japon	Sprache	taal	lengua aislada
http://www.wikidata.org/entity/Q28026	ak	Akan	akan	Akan	Akan	lenguas akánicas	language of Akan lands in Ghana	langue nigéro-congolaise parlée au Ghana	Gruppe von Sprachen	taal	variedades dialectales relacionadas, pertenecientes al grupo potou-tano de las lenguas kwa
http://www.wikidata.org/entity/Q1815020	akz	Alabama	alabama	Alabama	Alabama	idioma alabama	language spoken by the Alabama-Coushatta tribe	langue muskogéenne	Sprache	taal	lengua indígena de América
http://www.wikidata.org/entity/Q8748	sq	Albanian	albanais	Albanisch	Albanees	albanés	Indo-European language, spoken primarily in Albania, Kosovo, North Macedonia, and Montenegro	langue indo-européenne	indogermanische Sprache	Indo-Europese taal	macrolengua indoeuropea
http://www.wikidata.org/entity/Q56499	arq	Algerian Arabic	arabe algérien	Algerisch-Arabisch	Algerijns-Arabisch	árabe argelino	Maghrebi dialect of the Arabic language spoken in Algeria	langue parlée en Algérie et par la diaspora algérienne	Sprache	taal, Arabisch zoals gesproken in Algerije	dialecto del árabe nativo de Argelia
http://www.wikidata.org/entity/Q8786	gsw-fr	Alsatian	alsacien	Elsässisch	Elzassisch	alsaciano	Low Alemannic German dialect spoken in most of Alsace, a region in eastern France	dialecte alémanique	alemannische Dialekte im Elsass	taal	dialecto alemánico perteneciente a las lenguas germánicas hablado en Alsacia.
http://www.wikidata.org/entity/Q3124354	abs	Ambonese	malais d'Ambon	Ambonesisch	Ambonees		creole spoken by the Ambonese ethnic group	langue	Sprache	taal	lengua
http://www.wikidata.org/entity/Q28244	am	Amharic	amharique	Amharisch	Amhaars	amhárico	Semitic language of Ethiopia	langue sémitique d’Éthiopie	äthiosemitische Sprache	taal	lengua semítica hablada en Etiopía
http://www.wikidata.org/entity/Q35132	ami	Amis	amis	Amisisch	Amis	idioma amis	East Formosan language of Taiwan	langue formosane de l'Est	Sprache	taal	lengua
http://www.wikidata.org/entity/Q28378	anp	Angika	angika	Angika	Angika	Idioma angika	Bihari language of India and Nepal	langue	Bihari-Dialekt	taal	idioma
http://www.wikidata.org/entity/Q13955	ar	Arabic	arabe	Arabisch	Arabisch	árabe	Semitic language and lingua franca of the Arab world	langue sémitique, lingua franca du monde arabe et langue liturgique de l'islam	semitische Sprache	semitische taal	lengua semítica
http://www.wikidata.org/entity/Q8765	an	Aragonese	aragonais	Aragonesisch	Aragonees	aragonés	Romance language	langue d'Espagne	romanische Sprache	taal	lengua romance
http://www.wikidata.org/entity/Q958414	aro	Araona	araona	Araona	Araona	idioma araona	language	langue pano-tacanane	Sprache	taal	lengua
http://www.wikidata.org/entity/Q8785	hy	Armenian	arménien	Armenisch	Armeens	armenio	Indo-European language	langue indo-européenne	indogermanische Sprache	taal	lengua indoeuropea
http://www.wikidata.org/entity/Q29316	rup	Aromanian	aroumain	Aromunische Sprache	Aroemeens	arrumano	Eastern Romance language of the Southern Balkans	langue romane parlée par les Macedo-Roumains en Gréce, Albanie, Macédoine du Nord, Bulgarie, Rumanie et en Serbie	Östliche romanische Sprache, die im Südwesten des Balkans gesprochen wird	taal	lengua romance oriental
